Timestamp,In which city or town are you renting a property?,Select the level of population density where the property you're renting is located,"Is the property located in a cluster setting, whereby there are many houses/ buildings in the same yard/compound?",Is the house/property insured against accidents?,Do you share the house/property with others?,How many rooms of the property are you using,What are you using the property for?,In what currency do you pay your rentals?,How much do pay for the property/house/room that you're are renting,"Is your monthly rental fee inclusive of utility bills(electricity, water, etc)",Tick services that you are allowed to use on the property that you are renting
4/17/2019 20:17:45,Harare,Medium density,No,No,"Yes, I share with others",2,Residential,RTGS$,160,It includes utility bills,"Borehole, Electricity, DuraWall, Bulgar Alarm/Electric fence, Generator"
4/12/2019 19:45,Harare,Low density,No,Not Sure,"Yes, I share with others",1,Residential,RTGS$,200,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, Fence, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Remote controlled gate, Intercom, Veranda"
4/13/2019 16:47:30,Harare,Low density,Yes,Yes,No I do not not share it with any one.,2,Residential,RTGS$,150,It includes utility bills,"Borehole, Electricity, Fiber internet connection, ADSL intent connection, DuraWall, Fence, Landline Phone, Guarding Services, Bulgar Alarm/Electric fence, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Remote controlled gate, Intercom, Swimming Pool, Vegetable garden space, Car garage, Tree house, tennis court, Basketball court, Generator, Veranda"
4/8/2019 21:31,Mutare,Low density,No,Yes,No I do not not share it with any one.,6,Residential,USD,150,It does not include utility bills. I have to pay them separately after paying rent,"Borehole, Electricity, DuraWall, Bulgar Alarm/Electric fence, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Vegetable garden space"
4/10/2019 13:28,Harare,Medium density,No,Not Sure,"Yes, I share with others",5,Residential,RTGS$,600,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, ADSL intent connection, DuraWall, Fence, Landline Phone, Guarding Services, Fitted furniture(wardrobes, cupboards, closets, Office shelfs ), Remote controlled gate, Intercom, Vegetable garden space, Car garage, Generator, Veranda"
4/6/2019 11:37,Rusape,Low density,No,Not Sure,"Yes, I share with others",2,Residential,RTGS$,80,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, Fence"
4/6/2019 09:49,Victoria Falls,Low density,Yes,Not Sure,"Yes, I share with others",3,Residential,USD,250,It does not include utility bills. I have to pay them separately after paying rent,"Borehole, Electricity, ADSL intent connection, DuraWall, Landline Phone, Bulgar Alarm/Electric fence, Car garage"
4/17/2019 8:15:11,Victoria Falls,Medium density,Yes,Not Sure,No I do not not share it with any one.,4,Residential,USD,600,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, Fiber internet connection, DuraWall, Fitted furniture(wardrobes, cupboards, closets, Office shelfs )"
4/13/2019 19:02:57,Victoria Falls,Medium density,Yes,No,"Yes, I share with others",5,Residential,USD,600,It does not include utility bills. I have to pay them separately after paying rent,"Electricity, Fiber internet connection"
4/20/2019 7:58:17,Zimbabwe ,Medium density,Yes,No,"Yes, I share with others",3,Residential,USD,200,It includes utility bills,"Borehole, Electricity, Fitted furniture(wardrobes, cupboards, closets, Office shelfs )"
